"ID"	"Participant"	"Condition"	"Word"	"Cognate"	"TrialNumberRaw"	"PreTestRaw"	"GermanKnown"	"TestingMoment"	"RetentionInterval"	"KnownBefore"	"MeanTime"	"Score"	"Phonemes"	"PhonemesCorrectRelative"	"PhonemesIncorrectRelative"	"ExtraPhonemes"	"L1Frequency"	"L2Frequency"	"Concreteness"	"Memory"	"Lextale"	"Proficiency"	"YearsOfDutch"	"Age"	"Exposure"	"HowManyOtherLanguages"
"1kruk"	"1"	"Experimental"	"kruk"	"Cognate"	12	"9"	"Yes"	"Main2"	"3"	"No"	""	1	4	4	0	0	0.44	0.55	4.87	84	80	3	1.5	21	3.666666667	3
"1aambeeld"	"1"	"Experimental"	"aambeeld"	"Cognate"	16	"h"	"Yes"	"Main2"	"3"	"No"	""	0	6	0	6	0	0.23	0.18	3.79	84	80	3	1.5	21	3.666666667	3
"1gieter"	"1"	"Experimental"	"gieter"	"Cognate"	28	"9"	"Yes"	"Main2"	"7"	"No"	""	1	5	5	0	0	0.12	0.12	4.73	84	80	3	1.5	21	3.666666667	3
"1hengel"	"1"	"Experimental"	"hengel"	"Cognate"	32	"9"	"Yes"	"Main2"	"7"	"No"	""	0.8	5	4	1	0	1.23	0.47	4.6	84	80	3	1.5	21	3.666666667	3
"1zeis"	"1"	"Experimental"	"zeis"	"Cognate"	40	"9"	"Yes"	"Main2"	"3"	"No"	""	1	3	3	0	0	0.36	0.2	4.86	84	80	3	1.5	21	3.666666667	3
"1schroef"	"1"	"Experimental"	"schroef"	"Cognate"	42	"8"	"Yes"	"Main2"	"7"	"Yes"	""	1	5	5	0	0	0.65	0.47	4.87	84	80	3	1.5	21	3.666666667	3
"1tooi"	"1"	"Experimental"	"tooi"	"Non-cognate"	12	"9"	""	"Main2"	"3"	"No"	""	1	3	3	0	0	0.03	0.03	3.75	84	80	3	1.5	21	3.666666667	3
"1waaier"	"1"	"Experimental"	"waaier"	"Non-cognate"	16	"9"	""	"Main2"	"3"	"No"	""	1	5	5	0	0	0.45	0.31	4.53	84	80	3	1.5	21	3.666666667	3
"1speldje"	"1"	"Experimental"	"speldje"	"Non-cognate"	28	"9"	""	"Main2"	"7"	"No"	""	1	7	7	0	0	0.42	0.1	NA	84	80	3	1.5	21	3.666666667	3
"1veter"	"1"	"Experimental"	"veter"	"Non-cognate"	32	"8"	""	"Main2"	"7"	"No"	""	0	5	0	5	0	0.52	0.37	4.47	84	80	3	1.5	21	3.666666667	3
"1slab"	"1"	"Experimental"	"slab"	"Non-cognate"	40	"9"	""	"Main2"	"3"	"No"	""	0	4	0	4	0	0.17	0.01	4.75	84	80	3	1.5	21	3.666666667	3
"1gesp"	"1"	"Experimental"	"gesp"	"Non-cognate"	42	"9"	""	"Main2"	"7"	"No"	""	0	4	0	4	0	0.21	0.29	4.53	84	80	3	1.5	21	3.666666667	3
"1zwemvleugel"	"1"	"Experimental"	"zwemvleugel"	"Cognate"	12	"9"	"Yes"	"Main2"	"3"	"No"	""	1	10	10	0	0	0.09	NA	NA	84	80	3	1.5	21	3.666666667	3
"1stelt"	"1"	"Experimental"	"stelt"	"Cognate"	16	"9"	"Yes"	"Main2"	"3"	"No"	""	0	5	0	5	0	0.12	1.74	3.92	84	80	3	1.5	21	3.666666667	3
"1stokpaard"	"1"	"Experimental"	"stokpaard"	"Cognate"	28	"9"	"Yes"	"Main2"	"7"	"No"	""	1	8	8	0	0	0.08	0.01	NA	84	80	3	1.5	21	3.666666667	3
"1tamboerijn"	"1"	"Experimental"	"tamboerijn"	"Cognate"	32	"9"	"Yes"	"Main2"	"7"	"No"	""	0	8	0	8	0	0.11	0.16	4.6	84	80	3	1.5	21	3.666666667	3
"1peddel"	"1"	"Experimental"	"peddel"	"Cognate"	40	"9"	"Yes"	"Main2"	"3"	"No"	""	1	5	5	0	0	0.26	0.3	4.8	84	80	3	1.5	21	3.666666667	3
"1wip"	"1"	"Experimental"	"wip"	"Cognate"	42	"9"	"Yes"	"Main2"	"7"	"No"	""	0	3	0	3	0	0.09	0.91	4.47	84	80	3	1.5	21	3.666666667	3
"1kooi"	"1"	"Experimental"	"kooi"	"Non-cognate"	12	"9"	""	"Main2"	"3"	"No"	""	1	3	3	0	0	1.15	1.17	4.53	84	80	3	1.5	21	3.666666667	3
"1dienblad"	"1"	"Experimental"	"dienblad"	"Non-cognate"	16	"8"	""	"Main2"	"3"	"Yes"	""	1	7	7	0	0	NA	0.35	4.8	84	80	3	1.5	21	3.666666667	3
"1garde"	"1"	"Experimental"	"garde"	"Non-cognate"	28	"9"	""	"Main2"	"7"	"No"	""	0	5	0	5	0	0.03	0.76	3.45	84	80	3	1.5	21	3.666666667	3
"1vergiet"	"1"	"Experimental"	"vergiet"	"Non-cognate"	32	"9"	""	"Main2"	"7"	"No"	""	1	6	6	0	0	0.35	0.27	4.87	84	80	3	1.5	21	3.666666667	3
"1lessenaar"	"1"	"Experimental"	"lessenaar"	"Non-cognate"	40	"9"	""	"Main2"	"3"	"No"	""	1	7	7	0	0	0.34	0.1	4.64	84	80	3	1.5	21	3.666666667	3
"1stolp"	"1"	"Experimental"	"stolp"	"Non-cognate"	42	"9"	""	"Main2"	"7"	"No"	""	0	5	0	5	0	NA	0.07	4.54	84	80	3	1.5	21	3.666666667	3
"1aambeeld"	"1"	"Experimental"	"aambeeld"	"Cognate"	52	"h"	"Yes"	"Main4"	"3"	"No"	""	1	6	6	0	0	0.23	0.18	3.79	84	80	3	1.5	21	3.666666667	3
"1kruk"	"1"	"Experimental"	"kruk"	"Cognate"	56	"9"	"Yes"	"Main4"	"3"	"No"	""	1	4	4	0	0	0.44	0.55	4.87	84	80	3	1.5	21	3.666666667	3
"1hengel"	"1"	"Experimental"	"hengel"	"Cognate"	68	"9"	"Yes"	"Main4"	"7"	"No"	""	0.8	5	4	1	0	1.23	0.47	4.6	84	80	3	1.5	21	3.666666667	3
"1gieter"	"1"	"Experimental"	"gieter"	"Cognate"	72	"9"	"Yes"	"Main4"	"7"	"No"	""	1	5	5	0	0	0.12	0.12	4.73	84	80	3	1.5	21	3.666666667	3
"1zeis"	"1"	"Experimental"	"zeis"	"Cognate"	80	"9"	"Yes"	"Main4"	"3"	"No"	""	1	3	3	0	0	0.36	0.2	4.86	84	80	3	1.5	21	3.666666667	3
"1schroef"	"1"	"Experimental"	"schroef"	"Cognate"	82	"8"	"Yes"	"Main4"	"7"	"Yes"	""	1	5	5	0	0	0.65	0.47	4.87	84	80	3	1.5	21	3.666666667	3
"1waaier"	"1"	"Experimental"	"waaier"	"Non-cognate"	52	"9"	""	"Main4"	"3"	"No"	""	1	5	5	0	0	0.45	0.31	4.53	84	80	3	1.5	21	3.666666667	3
"1tooi"	"1"	"Experimental"	"tooi"	"Non-cognate"	56	"9"	""	"Main4"	"3"	"No"	""	1	3	3	0	0	0.03	0.03	3.75	84	80	3	1.5	21	3.666666667	3
"1veter"	"1"	"Experimental"	"veter"	"Non-cognate"	68	"8"	""	"Main4"	"7"	"No"	""	0	5	0	5	0	0.52	0.37	4.47	84	80	3	1.5	21	3.666666667	3
"1speldje"	"1"	"Experimental"	"speldje"	"Non-cognate"	72	"9"	""	"Main4"	"7"	"No"	""	1	7	7	0	0	0.42	0.1	NA	84	80	3	1.5	21	3.666666667	3
"1slab"	"1"	"Experimental"	"slab"	"Non-cognate"	80	"9"	""	"Main4"	"3"	"No"	""	1	4	4	0	0	0.17	0.01	4.75	84	80	3	1.5	21	3.666666667	3
"1gesp"	"1"	"Experimental"	"gesp"	"Non-cognate"	82	"9"	""	"Main4"	"7"	"No"	""	0	4	0	4	0	0.21	0.29	4.53	84	80	3	1.5	21	3.666666667	3
"1stelt"	"1"	"Experimental"	"stelt"	"Cognate"	52	"9"	"Yes"	"Main4"	"3"	"No"	""	1	5	5	0	0	0.12	1.74	3.92	84	80	3	1.5	21	3.666666667	3
"1zwemvleugel"	"1"	"Experimental"	"zwemvleugel"	"Cognate"	56	"9"	"Yes"	"Main4"	"3"	"No"	""	1	10	10	0	0	0.09	NA	NA	84	80	3	1.5	21	3.666666667	3
"1tamboerijn"	"1"	"Experimental"	"tamboerijn"	"Cognate"	68	"9"	"Yes"	"Main4"	"7"	"No"	""	1	8	8	0	0	0.11	0.16	4.6	84	80	3	1.5	21	3.666666667	3
"1stokpaard"	"1"	"Experimental"	"stokpaard"	"Cognate"	72	"9"	"Yes"	"Main4"	"7"	"No"	""	1	8	8	0	0	0.08	0.01	NA	84	80	3	1.5	21	3.666666667	3
"1peddel"	"1"	"Experimental"	"peddel"	"Cognate"	80	"9"	"Yes"	"Main4"	"3"	"No"	""	1	5	5	0	0	0.26	0.3	4.8	84	80	3	1.5	21	3.666666667	3
"1wip"	"1"	"Experimental"	"wip"	"Cognate"	82	"9"	"Yes"	"Main4"	"7"	"No"	""	1	3	3	0	0	0.09	0.91	4.47	84	80	3	1.5	21	3.666666667	3
"1dienblad"	"1"	"Experimental"	"dienblad"	"Non-cognate"	52	"8"	""	"Main4"	"3"	"Yes"	""	1	7	7	0	0	NA	0.35	4.8	84	80	3	1.5	21	3.666666667	3
"1kooi"	"1"	"Experimental"	"kooi"	"Non-cognate"	56	"9"	""	"Main4"	"3"	"No"	""	1	3	3	0	0	1.15	1.17	4.53	84	80	3	1.5	21	3.666666667	3
"1vergiet"	"1"	"Experimental"	"vergiet"	"Non-cognate"	68	"9"	""	"Main4"	"7"	"No"	""	1	6	6	0	0	0.35	0.27	4.87	84	80	3	1.5	21	3.666666667	3
"1garde"	"1"	"Experimental"	"garde"	"Non-cognate"	72	"9"	""	"Main4"	"7"	"No"	""	0	5	0	5	0	0.03	0.76	3.45	84	80	3	1.5	21	3.666666667	3
"1lessenaar"	"1"	"Experimental"	"lessenaar"	"Non-cognate"	80	"9"	""	"Main4"	"3"	"No"	""	1	7	7	0	0	0.34	0.1	4.64	84	80	3	1.5	21	3.666666667	3
"1stolp"	"1"	"Experimental"	"stolp"	"Non-cognate"	82	"9"	""	"Main4"	"7"	"No"	""	0	5	0	5	0	NA	0.07	4.54	84	80	3	1.5	21	3.666666667	3
"1kruk"	"1"	"Experimental"	"kruk"	"Cognate"	2	"9"	"Yes"	"Post"	"3"	"No"	""	1	4	4	0	0	0.44	0.55	4.87	84	80	3	1.5	21	3.666666667	3
"1gieter"	"1"	"Experimental"	"gieter"	"Cognate"	3	"9"	"Yes"	"Post"	"7"	"No"	""	1	5	5	0	0	0.12	0.12	4.73	84	80	3	1.5	21	3.666666667	3
"1zeis"	"1"	"Experimental"	"zeis"	"Cognate"	4	"9"	"Yes"	"Post"	"3"	"No"	""	0	3	0	3	0	0.36	0.2	4.86	84	80	3	1.5	21	3.666666667	3
"1schroef"	"1"	"Experimental"	"schroef"	"Cognate"	5	"8"	"Yes"	"Post"	"7"	"Yes"	""	1	5	5	0	0	0.65	0.47	4.87	84	80	3	1.5	21	3.666666667	3
"1aambeeld"	"1"	"Experimental"	"aambeeld"	"Cognate"	6	"h"	"Yes"	"Post"	"3"	"No"	""	0.17	6	1	5	0	0.23	0.18	3.79	84	80	3	1.5	21	3.666666667	3
"1hengel"	"1"	"Experimental"	"hengel"	"Cognate"	7	"9"	"Yes"	"Post"	"7"	"No"	""	0.8	5	4	1	0	1.23	0.47	4.6	84	80	3	1.5	21	3.666666667	3
"1slab"	"1"	"Experimental"	"slab"	"Non-cognate"	10	"9"	""	"Post"	"3"	"No"	""	0.75	4	3	1	0	0.17	0.01	4.75	84	80	3	1.5	21	3.666666667	3
"1speldje"	"1"	"Experimental"	"speldje"	"Non-cognate"	11	"9"	""	"Post"	"7"	"No"	""	0	7	0	7	0	0.42	0.1	NA	84	80	3	1.5	21	3.666666667	3
"1gesp"	"1"	"Experimental"	"gesp"	"Non-cognate"	12	"9"	""	"Post"	"7"	"No"	""	0	4	0	4	0	0.21	0.29	4.53	84	80	3	1.5	21	3.666666667	3
"1waaier"	"1"	"Experimental"	"waaier"	"Non-cognate"	13	"9"	""	"Post"	"3"	"No"	""	0	5	0	5	0	0.45	0.31	4.53	84	80	3	1.5	21	3.666666667	3
"1veter"	"1"	"Experimental"	"veter"	"Non-cognate"	14	"8"	""	"Post"	"7"	"No"	""	0	5	0	5	0	0.52	0.37	4.47	84	80	3	1.5	21	3.666666667	3
"1tooi"	"1"	"Experimental"	"tooi"	"Non-cognate"	15	"9"	""	"Post"	"3"	"No"	""	1	3	3	0	0	0.03	0.03	3.75	84	80	3	1.5	21	3.666666667	3
"1tamboerijn"	"1"	"Experimental"	"tamboerijn"	"Cognate"	18	"9"	"Yes"	"Post"	"7"	"No"	""	1	8	8	0	0	0.11	0.16	4.6	84	80	3	1.5	21	3.666666667	3
"1stelt"	"1"	"Experimental"	"stelt"	"Cognate"	19	"9"	"Yes"	"Post"	"3"	"No"	""	1	5	5	0	0	0.12	1.74	3.92	84	80	3	1.5	21	3.666666667	3
"1stokpaard"	"1"	"Experimental"	"stokpaard"	"Cognate"	20	"9"	"Yes"	"Post"	"7"	"No"	""	1	8	8	0	0	0.08	0.01	NA	84	80	3	1.5	21	3.666666667	3
"1peddel"	"1"	"Experimental"	"peddel"	"Cognate"	22	"9"	"Yes"	"Post"	"3"	"No"	""	1	5	5	0	0	0.26	0.3	4.8	84	80	3	1.5	21	3.666666667	3
"1zwemvleugel"	"1"	"Experimental"	"zwemvleugel"	"Cognate"	23	"9"	"Yes"	"Post"	"3"	"No"	""	1	10	10	0	0	0.09	NA	NA	84	80	3	1.5	21	3.666666667	3
"1wip"	"1"	"Experimental"	"wip"	"Cognate"	24	"9"	"Yes"	"Post"	"7"	"No"	""	1	3	3	0	0	0.09	0.91	4.47	84	80	3	1.5	21	3.666666667	3
"1vergiet"	"1"	"Experimental"	"vergiet"	"Non-cognate"	26	"9"	""	"Post"	"7"	"No"	""	1	6	6	0	0	0.35	0.27	4.87	84	80	3	1.5	21	3.666666667	3
"1kooi"	"1"	"Experimental"	"kooi"	"Non-cognate"	28	"9"	""	"Post"	"3"	"No"	""	0	3	0	3	0	1.15	1.17	4.53	84	80	3	1.5	21	3.666666667	3
"1garde"	"1"	"Experimental"	"garde"	"Non-cognate"	30	"9"	""	"Post"	"7"	"No"	""	0	5	0	5	0	0.03	0.76	3.45	84	80	3	1.5	21	3.666666667	3
"1stolp"	"1"	"Experimental"	"stolp"	"Non-cognate"	32	"9"	""	"Post"	"7"	"No"	""	0	5	0	5	0	NA	0.07	4.54	84	80	3	1.5	21	3.666666667	3
"1lessenaar"	"1"	"Experimental"	"lessenaar"	"Non-cognate"	33	"9"	""	"Post"	"3"	"No"	""	1	7	7	0	0	0.34	0.1	4.64	84	80	3	1.5	21	3.666666667	3
"1dienblad"	"1"	"Experimental"	"dienblad"	"Non-cognate"	35	"8"	""	"Post"	"3"	"Yes"	""	1	7	7	0	0	NA	0.35	4.8	84	80	3	1.5	21	3.666666667	3
"1aambeeld"	"1"	"Experimental"	"aambeeld"	"Cognate"	8	"h"	"Yes"	"FollowUp"	"3"	"No"	"NotAsked"	0	6	0	6	0	0.23	0.18	3.79	84	80	3	1.5	21	3.666666667	3
"1hengel"	"1"	"Experimental"	"hengel"	"Cognate"	9	"9"	"Yes"	"FollowUp"	"7"	"No"	"NotAsked"	0	5	0	5	0	1.23	0.47	4.6	84	80	3	1.5	21	3.666666667	3
"1gieter"	"1"	"Experimental"	"gieter"	"Cognate"	11	"9"	"Yes"	"FollowUp"	"7"	"No"	"No"	1	5	5	0	0	0.12	0.12	4.73	84	80	3	1.5	21	3.666666667	3
"1zeis"	"1"	"Experimental"	"zeis"	"Cognate"	21	"9"	"Yes"	"FollowUp"	"3"	"No"	"No"	0.5	3	2	1	-1	0.36	0.2	4.86	84	80	3	1.5	21	3.666666667	3
"1kruk"	"1"	"Experimental"	"kruk"	"Cognate"	26	"9"	"Yes"	"FollowUp"	"3"	"No"	"No"	1	4	4	0	0	0.44	0.55	4.87	84	80	3	1.5	21	3.666666667	3
"1tooi"	"1"	"Experimental"	"tooi"	"Non-cognate"	30	"9"	""	"FollowUp"	"3"	"No"	"NotAsked"	0	3	0	3	0	0.03	0.03	3.75	84	80	3	1.5	21	3.666666667	3
"1waaier"	"1"	"Experimental"	"waaier"	"Non-cognate"	36	"9"	""	"FollowUp"	"3"	"No"	"No"	1	5	5	0	0	0.45	0.31	4.53	84	80	3	1.5	21	3.666666667	3
"1speldje"	"1"	"Experimental"	"speldje"	"Non-cognate"	40	"9"	""	"FollowUp"	"7"	"No"	"NotAsked"	0	7	0	7	0	0.42	0.1	NA	84	80	3	1.5	21	3.666666667	3
"1gesp"	"1"	"Experimental"	"gesp"	"Non-cognate"	41	"9"	""	"FollowUp"	"7"	"No"	"NotAsked"	0	4	0	4	0	0.21	0.29	4.53	84	80	3	1.5	21	3.666666667	3
"1veter"	"1"	"Experimental"	"veter"	"Non-cognate"	43	"8"	""	"FollowUp"	"7"	"No"	"NotAsked"	0	5	0	5	0	0.52	0.37	4.47	84	80	3	1.5	21	3.666666667	3
"1slab"	"1"	"Experimental"	"slab"	"Non-cognate"	45	"9"	""	"FollowUp"	"3"	"No"	"NotAsked"	0	4	0	4	0	0.17	0.01	4.75	84	80	3	1.5	21	3.666666667	3
"1zwemvleugel"	"1"	"Experimental"	"zwemvleugel"	"Cognate"	54	"9"	"Yes"	"FollowUp"	"3"	"No"	"No"	1	10	10	0	0	0.09	NA	NA	84	80	3	1.5	21	3.666666667	3
"1stelt"	"1"	"Experimental"	"stelt"	"Cognate"	60	"9"	"Yes"	"FollowUp"	"3"	"No"	"No"	0.71	5	4	1	-2	0.12	1.74	3.92	84	80	3	1.5	21	3.666666667	3
"1wip"	"1"	"Experimental"	"wip"	"Cognate"	69	"9"	"Yes"	"FollowUp"	"7"	"No"	"No"	1	3	3	0	0	0.09	0.91	4.47	84	80	3	1.5	21	3.666666667	3
"1tamboerijn"	"1"	"Experimental"	"tamboerijn"	"Cognate"	70	"9"	"Yes"	"FollowUp"	"7"	"No"	"No"	1	8	8	0	0	0.11	0.16	4.6	84	80	3	1.5	21	3.666666667	3
"1peddel"	"1"	"Experimental"	"peddel"	"Cognate"	73	"9"	"Yes"	"FollowUp"	"3"	"No"	"NotAsked"	0	5	0	5	0	0.26	0.3	4.8	84	80	3	1.5	21	3.666666667	3
"1stokpaard"	"1"	"Experimental"	"stokpaard"	"Cognate"	78	"9"	"Yes"	"FollowUp"	"7"	"No"	"No"	1	8	8	0	0	0.08	0.01	NA	84	80	3	1.5	21	3.666666667	3
"1kooi"	"1"	"Experimental"	"kooi"	"Non-cognate"	80	"9"	""	"FollowUp"	"3"	"No"	"No"	1	3	3	0	0	1.15	1.17	4.53	84	80	3	1.5	21	3.666666667	3
"1vergiet"	"1"	"Experimental"	"vergiet"	"Non-cognate"	84	"9"	""	"FollowUp"	"7"	"No"	"No"	1	6	6	0	0	0.35	0.27	4.87	84	80	3	1.5	21	3.666666667	3
"1lessenaar"	"1"	"Experimental"	"lessenaar"	"Non-cognate"	99	"9"	""	"FollowUp"	"3"	"No"	"No"	0	7	0	7	0	0.34	0.1	4.64	84	80	3	1.5	21	3.666666667	3
"1stolp"	"1"	"Experimental"	"stolp"	"Non-cognate"	102	"9"	""	"FollowUp"	"7"	"No"	"NotAsked"	0	5	0	5	0	NA	0.07	4.54	84	80	3	1.5	21	3.666666667	3
"1dienblad"	"1"	"Experimental"	"dienblad"	"Non-cognate"	104	"8"	""	"FollowUp"	"3"	"Yes"	"NotAsked"	0	7	0	7	0	NA	0.35	4.8	84	80	3	1.5	21	3.666666667	3
"2buis"	"2"	"Experimental"	"buis"	"Non-cognate"	12	"7"	""	"Main2"	"3"	"Yes"	""	0	3	0	3	0	1	0.85	4.73	74	80	4	8	28	3.333333333	2
"2vijzel"	"2"	"Experimental"	"vijzel"	"Non-cognate"	16	"9"	""	"Main2"	"3"	"No"	""	1	5	5	0	0	0.38	0.02	4	74	80	4	8	28	3.333333333	2
"2klos"	"2"	"Experimental"	"klos"	"Non-cognate"	28	"8"	""	"Main2"	"7"	"No"	""	0	4	0	4	0	1.96	0.02	3.82	74	80	4	8	28	3.333333333	2
"2passer"	"2"	"Experimental"	"passer"	"Non-cognate"	32	"g"	""	"Main2"	"7"	"No"	""	0	5	0	5	0	0.25	0.05	4.86	74	80	4	8	28	3.333333333	2
"2kruiwagen"	"2"	"Experimental"	"kruiwagen"	"Non-cognate"	40	"h"	""	"Main2"	"3"	"No"	""	1	7	7	0	0	0.3	0.35	4.8	74	80	4	8	28	3.333333333	2
"2dobber"	"2"	"Experimental"	"dobber"	"Non-cognate"	42	"9"	""	"Main2"	"7"	"No"	""	1	5	5	0	0	0.47	0.17	4.25	74	80	4	8	28	3.333333333	2
"2tulband"	"2"	"Experimental"	"tulband"	"Cognate"	12	"9"	"Yes"	"Main2"	"3"	"No"	""	0	7	0	7	0	0.39	0.27	4.6	74	80	4	8	28	3.333333333	2
"2kraag"	"2"	"Experimental"	"kraag"	"Cognate"	16	"h"	"Yes"	"Main2"	"3"	"Yes"	""	1	4	4	0	0	0.87	0.66	4.73	74	80	4	8	28	3.333333333	2
"2rits"	"2"	"Experimental"	"rits"	"Cognate"	28	"8"	"Yes"	"Main2"	"7"	"Yes"	""	1	4	4	0	0	0.65	0.73	4.73	74	80	4	8	28	3.333333333	2
"2puntenslijper"	"2"	"Experimental"	"puntenslijper"	"Non-cognate"	12	"h"	""	"Main2"	"3"	"Yes"	""	1	11	11	0	0	0.05	0.01	NA	74	80	4	8	28	3.333333333	2
"2speen"	"2"	"Experimental"	"speen"	"Non-cognate"	16	"h"	""	"Main2"	"3"	"No"	""	1	4	4	0	0	0.2	0.14	4.31	74	80	4	8	28	3.333333333	2
"2tol"	"2"	"Experimental"	"tol"	"Non-cognate"	28	"h"	""	"Main2"	"7"	"No"	""	1	3	3	0	0	0.19	0.68	3.67	74	80	4	8	28	3.333333333	2
"2sambabal"	"2"	"Experimental"	"sambabal"	"Non-cognate"	32	"h"	""	"Main2"	"7"	"No"	""	1	8	8	0	0	0	0	NA	74	80	4	8	28	3.333333333	2
"2slinger"	"2"	"Experimental"	"slinger"	"Non-cognate"	40	"9"	""	"Main2"	"3"	"No"	""	0	6	0	6	0	0.12	0.39	4.4	74	80	4	8	28	3.333333333	2
"2rammelaar"	"2"	"Experimental"	"rammelaar"	"Non-cognate"	42	"h"	""	"Main2"	"7"	"Yes"	""	0.71	7	5	2	0	0.14	0.06	4.67	74	80	4	8	28	3.333333333	2
"2citruspers"	"2"	"Experimental"	"citruspers"	"Cognate"	12	"9"	"Yes"	"Main2"	"3"	"No"	""	1	10	10	0	0	NA	0.02	NA	74	80	4	8	28	3.333333333	2
"2slang"	"2"	"Experimental"	"slang"	"Cognate"	16	"h"	"Yes"	"Main2"	"3"	"Yes"	""	1	4	4	0	0	0.79	1.35	4.87	74	80	4	8	28	3.333333333	2
"2servet"	"2"	"Experimental"	"servet"	"Cognate"	28	"h"	"Yes"	"Main2"	"7"	"Yes"	""	0.86	6	5	1	-1	0.59	0.44	4.87	74	80	4	8	28	3.333333333	2
"2stamper"	"2"	"Experimental"	"stamper"	"Cognate"	32	"9"	"Yes"	"Main2"	"7"	"No"	""	1	7	7	0	0	0.05	0.32	4.5	74	80	4	8	28	3.333333333	2
"2stofzuiger"	"2"	"Experimental"	"stofzuiger"	"Cognate"	42	"h"	"Yes"	"Main2"	"7"	"Yes"	""	1	9	9	0	0	0.94	0.54	4.93	74	80	4	8	28	3.333333333	2
"2vijzel"	"2"	"Experimental"	"vijzel"	"Non-cognate"	52	"9"	""	"Main4"	"3"	"No"	""	1	5	5	0	0	0.38	0.02	4	74	80	4	8	28	3.333333333	2
"2buis"	"2"	"Experimental"	"buis"	"Non-cognate"	56	"7"	""	"Main4"	"3"	"Yes"	""	1	3	3	0	0	1	0.85	4.73	74	80	4	8	28	3.333333333	2
"2passer"	"2"	"Experimental"	"passer"	"Non-cognate"	68	"g"	""	"Main4"	"7"	"No"	""	0	5	0	5	0	0.25	0.05	4.86	74	80	4	8	28	3.333333333	2
"2klos"	"2"	"Experimental"	"klos"	"Non-cognate"	72	"8"	""	"Main4"	"7"	"No"	""	0	4	0	4	0	1.96	0.02	3.82	74	80	4	8	28	3.333333333	2
"2kruiwagen"	"2"	"Experimental"	"kruiwagen"	"Non-cognate"	80	"h"	""	"Main4"	"3"	"No"	""	1	7	7	0	0	0.3	0.35	4.8	74	80	4	8	28	3.333333333	2
"2dobber"	"2"	"Experimental"	"dobber"	"Non-cognate"	82	"9"	""	"Main4"	"7"	"No"	""	1	5	5	0	0	0.47	0.17	4.25	74	80	4	8	28	3.333333333	2
"2kraag"	"2"	"Experimental"	"kraag"	"Cognate"	52	"h"	"Yes"	"Main4"	"3"	"Yes"	""	1	4	4	0	0	0.87	0.66	4.73	74	80	4	8	28	3.333333333	2
"2tulband"	"2"	"Experimental"	"tulband"	"Cognate"	56	"9"	"Yes"	"Main4"	"3"	"No"	""	0	7	0	7	0	0.39	0.27	4.6	74	80	4	8	28	3.333333333	2
"2rits"	"2"	"Experimental"	"rits"	"Cognate"	72	"8"	"Yes"	"Main4"	"7"	"Yes"	""	1	4	4	0	0	0.65	0.73	4.73	74	80	4	8	28	3.333333333	2
"2speen"	"2"	"Experimental"	"speen"	"Non-cognate"	52	"h"	""	"Main4"	"3"	"No"	""	1	4	4	0	0	0.2	0.14	4.31	74	80	4	8	28	3.333333333	2
"2puntenslijper"	"2"	"Experimental"	"puntenslijper"	"Non-cognate"	56	"h"	""	"Main4"	"3"	"Yes"	""	1	11	11	0	0	0.05	0.01	NA	74	80	4	8	28	3.333333333	2
"2sambabal"	"2"	"Experimental"	"sambabal"	"Non-cognate"	68	"h"	""	"Main4"	"7"	"No"	""	1	8	8	0	0	0	0	NA	74	80	4	8	28	3.333333333	2
"2tol"	"2"	"Experimental"	"tol"	"Non-cognate"	72	"h"	""	"Main4"	"7"	"No"	""	1	3	3	0	0	0.19	0.68	3.67	74	80	4	8	28	3.333333333	2
"2slinger"	"2"	"Experimental"	"slinger"	"Non-cognate"	80	"9"	""	"Main4"	"3"	"No"	""	0	6	0	6	0	0.12	0.39	4.4	74	80	4	8	28	3.333333333	2
"2rammelaar"	"2"	"Experimental"	"rammelaar"	"Non-cognate"	82	"h"	""	"Main4"	"7"	"Yes"	""	1	7	7	0	0	0.14	0.06	4.67	74	80	4	8	28	3.333333333	2
"2slang"	"2"	"Experimental"	"slang"	"Cognate"	52	"h"	"Yes"	"Main4"	"3"	"Yes"	""	1	4	4	0	0	0.79	1.35	4.87	74	80	4	8	28	3.333333333	2
"2citruspers"	"2"	"Experimental"	"citruspers"	"Cognate"	56	"9"	"Yes"	"Main4"	"3"	"No"	""	1	10	10	0	0	NA	0.02	NA	74	80	4	8	28	3.333333333	2
"2stamper"	"2"	"Experimental"	"stamper"	"Cognate"	68	"9"	"Yes"	"Main4"	"7"	"No"	""	1	7	7	0	0	0.05	0.32	4.5	74	80	4	8	28	3.333333333	2
"2servet"	"2"	"Experimental"	"servet"	"Cognate"	72	"h"	"Yes"	"Main4"	"7"	"Yes"	""	0.86	6	5	1	-1	0.59	0.44	4.87	74	80	4	8	28	3.333333333	2
"2stofzuiger"	"2"	"Experimental"	"stofzuiger"	"Cognate"	82	"h"	"Yes"	"Main4"	"7"	"Yes"	""	1	9	9	0	0	0.94	0.54	4.93	74	80	4	8	28	3.333333333	2
"2klos"	"2"	"Experimental"	"klos"	"Non-cognate"	1	"8"	""	"Post"	"7"	"No"	""	0	4	0	4	0	1.96	0.02	3.82	74	80	4	8	28	3.333333333	2
"2kruiwagen"	"2"	"Experimental"	"kruiwagen"	"Non-cognate"	2	"h"	""	"Post"	"3"	"No"	""	0	7	0	7	0	0.3	0.35	4.8	74	80	4	8	28	3.333333333	2
